"","X.miRNA","read_count","precursor","total","XmiRNA1","XmiRNA2","XmiRNA3","XmiRNA4","XmiRNA5","XmiRNA6","XmiRNA7","XmiRNA8","XmiRNA9","XmiRNA10","XmiRNA11","XmiRNA12","XmiRNA13","XmiRNA14","XmiRNA15","XmiRNA16","XmiRNA17","XmiRNA18","XmiRNA19","XmiRNA20","XmiRNA21","XmiRNA22","XmiRNA23","XmiRNA24","XmiRNA25","XmiRNA26","XmiRNA27","XmiRNA28","XmiRNA29","XmiRNA30","XmiRNA31","XmiRNA32","XmiRNA33","XmiRNA34","XmiRNA35","XmiRNA36","XmiRNA37","XmiRNA38","XmiRNA39","XmiRNA40","XmiRNA41","XmiRNA42","XmiRNA43","XmiRNA44","XmiRNA45","XmiRNA46","X10miRNA1.norm.","XmiRNA2.norm.","XmiRNA3.norm.","XmiRNA4.norm.","XmiRNA5.norm.","XmiRNA6.norm.","XmiRNA7.norm.","XmiRNA8.norm.","XmiRNA9.norm.","XmiRNA10.norm.","XmiRNA11.norm.","XmiRNA12.norm.","XmiRNA13.norm.","XmiRNA14.norm.","XmiRNA15.norm.","XmiRNA16.norm.","XmiRNA17.norm.","XmiRNA18.norm.","XmiRNA19.norm.","XmiRNA20.norm.","XmiRNA21.norm.","XmiRNA22.norm.","XmiRNA23.norm.","XmiRNA24.norm.","XmiRNA25.norm.","XmiRNA26.norm.","XmiRNA27.norm.","XmiRNA28.norm.","XmiRNA29.norm.","XmiRNA30.norm.","XmiRNA31.norm.","XmiRNA32.norm.","XmiRNA33.norm.","XmiRNA34.norm.","XmiRNA35.norm.","XmiRNA36.norm.","XmiRNA37.norm.","XmiRNA38.norm.","XmiRNA39.norm.","XmiRNA40.norm.","XmiRNA41.norm.","XmiRNA42.norm.","XmiRNA43.norm.","XmiRNA44.norm.","XmiRNA45.norm.","XmiRNA46.norm."
"828","hsa-miR-4527",0,"hsa-mir-4527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"829","hsa-miR-4529-5p",0,"hsa-mir-4529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"830","hsa-miR-4530",0,"hsa-mir-4530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"831","hsa-miR-4531",0,"hsa-mir-4531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"832","hsa-miR-4533",53,"hsa-mir-4533",53,0,0,7,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0
"833","hsa-miR-4534",0,"hsa-mir-4534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"834","hsa-miR-4535",683,"hsa-mir-4535",683,0,681,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.58,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"835","hsa-miR-4536-5p",0,"hsa-mir-4536-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"836","hsa-miR-4536-5p",0,"hsa-mir-4536-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"837","hsa-miR-4537",0,"hsa-mir-4537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"838","hsa-miR-4538",0,"hsa-mir-4538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"839","hsa-miR-4539",0,"hsa-mir-4539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"840","hsa-miR-454-5p",435,"hsa-mir-454",435,15,59,0,0,0,32,27,0,0,25,0,0,60,0,28,2,29,0,0,0,19,25,0,2,18,0,0,0,0,0,14,0,0,0,0,0,0,0,30,19,18,0,0,0,0,13,3.74,24.74,0,0,0,11.77,19.23,0,0,8.12,0,0,7.88,0,5.67,0.37,3.46,0,0,0,4.1,2.69,0,1.68,3.45,0,0,0,0,0,3.29,0,0,0,0,0,0,0,7.36,6.33,2.76,0,0,0,0,2.34
"841","hsa-miR-4540",0,"hsa-mir-4540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"842","hsa-miR-455-5p",433,"hsa-mir-455",433,10,54,0,24,0,0,14,0,31,6,0,27,12,0,0,12,0,0,30,0,0,23,10,14,11,0,12,0,27,0,10,0,0,0,0,5,0,0,0,0,11,0,0,0,0,90,2.49,22.64,0,15.18,0,0,9.97,0,7.01,1.95,0,8.08,1.58,0,0,2.2,0,0,4.58,0,0,2.48,4.15,11.79,2.11,0,5.75,0,9.96,0,2.35,0,0,0,0,3.9,0,0,0,0,1.69,0,0,0,0,16.2
"843","hsa-miR-4632-5p",121,"hsa-mir-4632",121,0,0,0,0,0,0,0,40,0,0,0,28,0,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,8.38,0,0,3.24,0,1.19,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0
"844","hsa-miR-4633-5p",0,"hsa-mir-4633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"845","hsa-miR-4634",10,"hsa-mir-4634",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0.22,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"846","hsa-miR-4636",36,"hsa-mir-4636",36,0,1,0,0,9,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,2.61,0,0,0,3.39,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"847","hsa-miR-4638-5p",53,"hsa-mir-4638",53,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,5.27,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0
"848","hsa-miR-4638-3p",144,"hsa-mir-4638",144,7,0,7,0,0,0,0,0,0,0,0,35,0,8,0,1,7,0,0,0,0,0,0,0,21,19,0,0,0,0,17,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,1.74,0,3,0,0,0,0,0,0,0,0,10.47,0,7.77,0,0.18,0.84,0,0,0,0,0,0,0,4.03,5.96,0,0,0,0,4,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0,0.18
"849","hsa-miR-4639-5p",0,"hsa-mir-4639",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"850","hsa-miR-4640-5p",0,"hsa-mir-4640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"851","hsa-miR-4642",32,"hsa-mir-4642",32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"852","hsa-miR-4645-5p",0,"hsa-mir-4645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"853","hsa-miR-4646-5p",73,"hsa-mir-4646",73,21,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,17,0,0,0,0,0,0,5.23,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0
"854","hsa-miR-4647",654,"hsa-mir-4647",654,25,24,0,34,74,0,0,44,0,1,0,42,38,18,67,0,0,0,0,0,0,30,0,0,29,0,5,0,0,0,0,14,0,0,0,0,49,0,19,0,0,0,0,0,94,47,6.23,10.06,0,21.5,21.49,0,0,5.49,0,0.32,0,12.57,4.99,17.49,13.57,0,0,0,0,0,0,3.23,0,0,5.56,0,2.4,0,0,0,0,1.18,0,0,0,0,11.16,0,4.66,0,0,0,0,0,26.67,8.46
"855","hsa-miR-4648",1,"hsa-mir-4648",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0
"856","hsa-miR-4649-5p",0,"hsa-mir-4649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"857","hsa-miR-4650-5p",0,"hsa-mir-4650-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"858","hsa-miR-4650-5p",0,"hsa-mir-4650-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"859","hsa-miR-4651",0,"hsa-mir-4651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"860","hsa-miR-4652-5p",0,"hsa-mir-4652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"861","hsa-miR-4653-5p",0,"hsa-mir-4653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"862","hsa-miR-4654",276,"hsa-mir-4654",276,0,0,0,0,20,19,0,0,0,0,0,94,0,0,0,0,17,31,0,0,23,0,0,5,0,0,0,11,17,0,0,4,0,0,0,0,0,0,0,10,0,9,0,0,16,0,0,0,0,0,5.81,6.99,0,0,0,0,0,28.12,0,0,0,0,2.03,8.31,0,0,4.97,0,0,4.21,0,0,0,2.91,6.27,0,0,0.34,0,0,0,0,0,0,0,3.33,0,2.59,0,0,4.54,0
"863","hsa-miR-4655-5p",201,"hsa-mir-4655",201,0,0,0,20,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,38,10,0,0,19,10,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.65,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,15.79,8.42,0,0,9.1,2.64,0,0,0,0,0,0,19.85,0,0,0,0,0,0,0,0,0,0,0.18
"864","hsa-miR-4656",0,"hsa-mir-4656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"865","hsa-miR-4657",624,"hsa-mir-4657",624,35,0,21,0,23,0,0,22,30,12,0,84,15,8,38,0,20,0,0,0,12,60,0,0,9,0,0,15,17,0,0,20,42,0,42,38,0,0,1,13,12,9,26,0,0,0,8.72,0,9,0,6.68,0,0,2.75,6.78,3.9,0,25.13,1.97,7.77,7.7,0,2.39,0,0,0,2.59,6.46,0,0,1.73,0,0,3.97,6.27,0,0,1.69,28.37,0,11.42,29.67,0,0,0.25,4.33,1.84,2.59,76.26,0,0,0
"866","hsa-miR-4658",433,"hsa-mir-4658",433,0,0,0,0,0,0,0,0,20,0,0,0,0,0,86,25,0,0,0,0,0,0,6,24,15,12,33,0,0,11,0,7,52,0,0,0,0,8,0,13,9,32,13,0,0,67,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,17.42,4.58,0,0,0,0,0,0,2.49,20.21,2.88,3.77,15.81,0,0,19.07,0,0.59,35.12,0,0,0,0,1.28,0,4.33,1.38,9.22,38.13,0,0,12.06
"867","hsa-miR-4659a-5p",0,"hsa-mir-4659a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"868","hsa-miR-4659b-5p",0,"hsa-mir-4659b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"869","hsa-miR-4660",39,"hsa-mir-4660",39,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,11.71,0,0,0,0,0,0,0,0,0,0
"870","hsa-miR-4661-5p",283,"hsa-mir-4661",283,22,17,0,0,27,0,0,0,0,8,0,31,0,0,39,0,0,0,23,0,21,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,34,1,0,0,0,5.48,7.13,0,0,7.84,0,0,0,0,2.6,0,9.28,0,0,7.9,0,0,0,3.51,0,4.54,2.37,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,0,0,0,9.8,2.93,0,0,0
"871","hsa-miR-4662a-5p",319,"hsa-mir-4662a",319,6,6,0,0,0,0,0,0,0,13,0,0,11,0,14,0,12,0,35,41,0,29,0,1,22,0,0,13,0,0,20,4,0,0,0,0,0,0,3,5,30,0,0,0,51,3,1.5,2.52,0,0,0,0,0,0,0,4.22,0,0,1.45,0,2.84,0,1.43,0,5.34,26.48,0,3.12,0,0.84,4.22,0,0,3.44,0,0,4.7,0.34,0,0,0,0,0,0,0.74,1.67,4.6,0,0,0,14.47,0.54
"872","hsa-miR-4663",0,"hsa-mir-4663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873","hsa-miR-4664-5p",91,"hsa-mir-4664",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0.22,0,3.74,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0,0,6.81,0
"874","hsa-miR-4665-5p",156,"hsa-mir-4665",156,0,10,0,0,14,0,0,0,38,0,0,0,0,0,0,12,0,0,0,0,0,0,21,11,0,0,4,0,0,11,15,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4.19,0,0,4.06,0,0,0,8.59,0,0,0,0,0,0,2.2,0,0,0,0,0,0,8.72,9.27,0,0,1.92,0,0,19.07,3.53,0.68,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0
"875","hsa-miR-4666a-5p",1,"hsa-mir-4666a",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"876","hsa-miR-4666b",164,"hsa-mir-4666b",164,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17,1,0,0,0,0,0,0,0,10,0,2,0,0,0,0,55,0,22,0,0,0,0,0,40,8,0,0,0,1.74,0,0,0,0,0,0,0,0,0.32,0,0,0,0.97,0,0,0,4.56,0.15,0,0,0,0,0,0,0,4.79,0,0.74,0,0,0,0,20.99,0,17.18,0,0,0,0,0,11.53,23.47,0,0,0
"877","hsa-miR-4667-5p",55,"hsa-mir-4667",55,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"878","hsa-miR-4668-5p",114,"hsa-mir-4668",114,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,16,1,0,13,0,0,10,19,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2.49,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,1.43,0,0,0,0,1.72,0.42,0,2.49,0,0,2.64,7.01,0,3.76,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0
"879","hsa-miR-4669",848,"hsa-mir-4669",848,15,0,0,61,0,21,0,27,0,0,0,31,24,0,0,72,0,31,0,0,47,0,0,27,75,1,70,0,34,0,0,179,0,2,0,101,0,0,0,30,0,0,0,0,0,0,3.74,0,0,38.58,0,7.72,0,3.37,0,0,0,9.28,3.15,0,0,13.18,0,8.31,0,0,10.15,0,0,22.74,14.39,0.31,33.53,0,12.54,0,0,15.12,0,0.76,0,78.86,0,0,0,9.99,0,0,0,0,0,0
"880","hsa-miR-4670-5p",70,"hsa-mir-4670",70,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78
"881","hsa-miR-4671-5p",0,"hsa-mir-4671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"882","hsa-miR-4673",0,"hsa-mir-4673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"883","hsa-miR-4676-5p",665,"hsa-mir-4676",665,0,47,0,0,0,30,0,0,0,15,0,38,0,9,0,25,44,0,8,0,28,48,0,2,12,0,0,0,9,14,26,19,0,0,0,38,0,5,36,35,19,14,10,0,134,0,0,19.71,0,0,0,11.03,0,0,0,4.87,0,11.37,0,8.74,0,4.58,5.25,0,1.22,0,6.05,5.17,0,1.68,2.3,0,0,0,3.32,24.27,6.11,1.6,0,0,0,29.67,0,0.8,8.83,11.66,2.91,4.03,29.33,0,38.02,0
"884","hsa-miR-4677-5p",178,"hsa-mir-4677",178,15,0,3,0,0,0,0,8,0,0,0,0,0,0,11,3,15,0,23,0,0,1,0,0,4,0,0,0,12,0,10,3,0,0,0,0,0,0,0,5,41,0,0,0,0,24,3.74,0,1.29,0,0,0,0,1,0,0,0,0,0,0,2.23,0.55,1.79,0,3.51,0,0,0.11,0,0,0.77,0,0,0,4.43,0,2.35,0.25,0,0,0,0,0,0,0,1.67,6.29,0,0,0,0,4.32
"885","hsa-miR-4678",0,"hsa-mir-4678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
